id,scientific_name,common_name,where_listed,region_name,region,esa_listing_status,category
ES828,Carex lutea,Golden sedge,Wherever found,Southeast,4,Endangered,Vascular Plant
ES485,Carex specuicola,Navajo sedge,Wherever found,Southwest,2,Threatened,Vascular Plant
ES388,Castilleja affinis ssp. neglecta,Tiburon paintbrush,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES916,Castilleja campestris ssp. succulenta,Fleshy owl's-clover,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES365,Castilleja cinerea,Ash-grey paintbrush,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES231,Castilleja grisea,San Clemente Island Paintbrush,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES171,Castilleja levisecta,golden paintbrush,Wherever found,Pacific,1,Threatened,Vascular Plant
ES883,Castilleja mollis,Soft-leaved paintbrush,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES336,Catesbaea melanocarpa,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES964,Catostomus discobolus yarrowi,Zuni bluehead Sucker,Wherever found,Southwest,2,Endangered,Fish
ES1368,Catostomus santaanae,Santa Ana sucker,3 CA river basins,Pacific Southwest,8,Threatened,Fish
ES1556,Catostomus warnerensis,Warner sucker,Wherever found,Pacific,1,Threatened,Fish
ES236,Caulanthus californicus,California jewelflower,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES301,Ceanothus ferrisae,Coyote ceanothus,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES41,Ceanothus ophiochilus,Vail Lake ceanothus,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES197,Ceanothus roderickii,Pine Hill ceanothus,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES519,Cenchrus agrimonioides,Kamanomano,Wherever found,Pacific,1,Endangered,Vascular Plant
ES662,Centaurium namophilum,Spring-loving centaury,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES1340,Centrocercus minimus,Gunnison sage-grouse,Wherever found,Mountain-Prairie,6,Threatened,Bird
ES361,Cercocarpus traskiae,Catalina Island mountain-mahogany,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES589,Cereus eriophorus var. fragrans,Fragrant prickly-apple,Wherever found,Southeast,4,Endangered,Vascular Plant
ES869,Chamaecrista glandulosa var. mirabilis,No common name,Wherever found,Southeast,4,Endangered,Vascular Plant
ES543,Chamaecrista lineata keyensis,Big Pine partridge pea,Wherever found,Southeast,4,Endangered,Vascular Plant
ES540,Chamaesyce deltoidea pinetorum,Pineland sandmat,Wherever found,Southeast,4,Threatened,Vascular Plant
ES477,Chamaesyce deltoidea serpyllum,Wedge spurge,Wherever found,Southeast,4,Endangered,Vascular Plant
ES520,Chamaesyce deltoidea ssp. deltoidea,Deltoid spurge,Wherever found,Southeast,4,Endangered,Vascular Plant
ES333,Chamaesyce garberi,Garber's spurge,Wherever found,Southeast,4,Threatened,Vascular Plant
ES818,Chamaesyce hooveri,Hoover's spurge,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES1023,Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.|[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",Northeast|Midwest,0|1,Threatened|Endangered,Bird
ES996,Charadrius nivosus nivosus,Western snowy plover,"Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)",Pacific Southwest,8,Threatened,Bird
ES405,Charpentiera densiflora,Papala,Wherever found,Pacific,1,Endangered,Vascular Plant
ES1092,Chasiempis ibidis,Oahu elepaio,Wherever found,Pacific,1,Endangered,Bird
ES953,Chasmistes brevirostris,Shortnose Sucker,Wherever found,Pacific Southwest,8,Endangered,Fish
ES1032,Chasmistes cujus,Cui-ui,Wherever found,Pacific Southwest,8,Endangered,Fish
ES1212,Chasmistes liorus,June sucker,Wherever found,Mountain-Prairie,6,Threatened,Fish
ES1005,Chelonia mydas,Green sea turtle,North Atlantic DPS|South Atlantic DPS|Central South Pacific DPS|Central North Pacific DPS|Central West Pacific DPS|East Pacific DPS,Southeast|Pacific|Pacific Southwest,0|1|2,Threatened|Endangered,Reptile
ES1332,Chilabothrus granti,Virgin Islands tree boa,Wherever found,Southeast,4,Endangered,Reptile
ES898,Chionanthus pygmaeus,Pygmy fringe-tree,Wherever found,Southeast,4,Endangered,Vascular Plant
ES724,Chlorogalum purpureum,Purple amole,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES84,Chorizanthe howellii,Howell's spineflower,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES441,Chorizanthe orcuttiana,Orcutt's spineflower,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES674,Chorizanthe pungens var. hartwegiana,Ben Lomond spineflower,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES742,Chorizanthe pungens var. pungens,Monterey spineflower,Wherever found,Pacific Southwest,8,Threatened,Vascular Plant
ES704,Chorizanthe robusta var. hartwegii,Scotts Valley spineflower,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES205,Chorizanthe robusta var. robusta,Robust spineflower,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES83,Chorizanthe valida,Sonoma spineflower,Wherever found,Pacific Southwest,8,Endangered,Vascular Plant
ES341,Chromolaena frustrata,Cape Sable Thoroughwort,Wherever found,Southeast,4,Endangered,Vascular Plant
ES1178,Chrosomus saylori,Laurel dace,Wherever found,Southeast,4,Endangered,Fish
ES1583,Cicindela dorsalis dorsalis,Northeastern beach tiger beetle,Wherever found,Northeast,5,Threatened,Insect
ES1138,Cicindela nevadica lincolniana,Salt Creek Tiger beetle,Wherever found,Mountain-Prairie,6,Endangered,Insect
